S.,,,Un
No.,Branch,Course Name/Group Name,(Credits)
55,BSBE,M.TECH THESIS(BSE699),0-0-0-
,,,0(0)
56,BSBE,SEMINAR(BSE701A),0-0-0-
,,,0(0)
57,BSBE,SEMINAR(BSE702A),0-0-0-
,,,0(0)
58,BSBE,PHD THESIS(BSE799),0-0-0-
,,,0(0)
59,BSBE,PRINCIPLES OF,3-0-0-
,,BIOTECHNOLOGY(ESO206A,0(9)
,,),
60,CE,SUSTAINABLE BUILT,3-0-0-
,,ENVIRONMENT(CE241A),0(9)
,,,
61,CE,ENVIRONMENTAL,3-0-3-
62,CE,GEOINFORMATICS(CE331A),3-0-2-
,,,0(11)
,,,
63,CE,GEOINFORMATICS,0-0-2-
,,LAB(CE331P),0(2)
64,CE,CIVIL ENGINEERING,0-0-2-
,,COMMUNICATION,0(2)
,,SKILLS(CE341A),
,,,
,,,
,,,
,,,
,,,
,,,
,,,
65,CE,SOIL MECHANICS(CE351A),2-0-2-
,,,0(8)
66,CE,SOIL MECHANICS(CE351T),3-0-0-
,,,0(9)
67,CE,ENGINEERING,2-0-0-
,,HYDROLOGY(CE361A),0(6)
,,,
68,CE,DESIGN OF STEEL,2-0-0-
,,STRUCTURES(CE371A),0(6)
69,CE,CONSTRUCTION,3-0-0-
,,MANAGEMENT(CE441B),0(5)
,,,
70,CE,APPLICATION OF,3-0-0-
,,GEOTECHNICAL,2(11)
,,ENGINEERING(CE451A),
,,,
71,CE,SPECIAL TOPICS IN,3-0-0-
S.,,,Units
No.,Branch,Course Name/Group Name,(Credits)
,,,
72,CE,TRANSPORTATION,3-0-0-
,,FACILITIES,2(11)
,,DESIGN(CE481A),
73,CE,UNDER GRADUATE,0-0-0-
,,RESEARCH -II(CE491A),0(9)
74,CE,UNDER GRADUATE,0-0-0-
,,RESEARCH -III(CE492A),0(9)
75,CE,UNDER GRADUATE,0-0-0-
,,RESEARCH -IV(CE493A),0(9)
76,CE,MATHEMATICS FOR CIVIL,2-0-0-
,,ENGINEERS(CE603A),0(5)
77,CE,NUMERICAL METHODS FOR,2-0-0-
,,CIVIL ENGINEERS(CE604A),0(5)
78,CE,PROBABILITY AND,2-0-0-
,,STATISTICS FOR CIVIL,0(5)
,,ENGINEERS(CE605A),
79,CE,OPTIMIZATION METHODS,3-0-0-
,,FOR CIVIL,0(5)
,,ENGINEERS(CE606A),
80,CE,ADVANCED,3-0-0-
,,HYDROLOGY(CE610A),0(9)
81,CE,ADVANCED,3-0-0-
,,HYDRAULICS(CE611A),0(9)
82,CE,STRUCTURAL,3-0-0-
,,DYNAMICS(CE620A),0(9)
83,CE,ENGINEERING,3-0-0-
,,MECHANICS(CE621A),0(9)
,,,
84,CE,NONLINEAR STRUCTURAL,3-0-0-
